Witel;Datel;Code;Name
BANTEN;BANTEN;BJT;BOJOT
BANTEN;BANTEN;BRS;BAROS
BANTEN;BANTEN;CKD;CIKANDE
BANTEN;BANTEN;CRS;CIRUAS
BANTEN;BANTEN;KMT;KRAMAT WATU
BANTEN;BANTEN;SEG;SERANG
BANTEN;CIKUPA;BLJ;BALARAJA
BANTEN;CIKUPA;CKA;CIKUPA
BANTEN;CIKUPA;CSK;CISOKA
BANTEN;CIKUPA;KRS;KRESEK
BANTEN;CIKUPA;SAG;SAGA
BANTEN;CIKUPA;TGR;TIGA RAKSA
BANTEN;CIKUPA;TJO;TENJO
BANTEN;CILEGON;BJO;BOJONAGARA
BANTEN;CILEGON;CLG;CILEGON
BANTEN;CILEGON;CWN;CIWANDAN
BANTEN;CILEGON;GRL;GEROGOL
BANTEN;CILEGON;MER;MERAK
BANTEN;CILEGON;PBN;PABEAN
BANTEN;CILEGON;PSU;PASAURAN
BANTEN;CILEGON;SAM;SAMANG RAYA
BANTEN;RANGKAS-PANDEGLANG;BAY;BAYAH
BANTEN;RANGKAS-PANDEGLANG;LBU;LABUAN
BANTEN;RANGKAS-PANDEGLANG;LWD;LEUWIDAMAR
BANTEN;RANGKAS-PANDEGLANG;MEN;MENES
BANTEN;RANGKAS-PANDEGLANG;MLP;MALINGPING
BANTEN;RANGKAS-PANDEGLANG;PDG;PANDEGLANG
BANTEN;RANGKAS-PANDEGLANG;RKS;RANGKASBITUNG
BANTEN;RANGKAS-PANDEGLANG;SKE;SAKETI
BEKASI;BEKASI;BBL;BABELAN
BEKASI;BEKASI;BEK;BEKASI
BEKASI;BEKASI;KLB;KALIABANG
BEKASI;BEKASI;KRA;KRANJI
BEKASI;BEKASI;PDE;PONDOK GEDE
BEKASI;BEKASI;PKY;PEKAYON
BEKASI;BEKASI;TAR;TARUMAJAYA
BEKASI;CIKARANG;BGG;BANTAR GEBANG
BEKASI;CIKARANG;CBG;CABANGBUNGIN
BEKASI;CIKARANG;CBR;CIBARUSA
BEKASI;CIKARANG;CIB;CIBITUNG
BEKASI;CIKARANG;CIK;CIKARANG
BEKASI;CIKARANG;DNI;MDF DANAU INDAH
BEKASI;CIKARANG;EJI;EJIP
BEKASI;CIKARANG;JBB;JABABEKA
BEKASI;CIKARANG;LMA;LEMAH ABANG
BEKASI;CIKARANG;MGB;MUARA GEMBONG
BEKASI;CIKARANG;PBY;PEBAYURAN
